title,successful_bid,initial_bid,num_bids,time,date,url
【同梱可】中古品 アイドル 乃木坂46 久保史緒里 岩本蓮加 他 生写真 60枚 おひとりさま天国 CD 封入 等 グッズセッ,1211,500,2,20:06,2024/12/07,https://page.auctions.yahoo.co.jp/jp/auction/s1164146688
未開封 乃木坂46 久保史緒里 個別フラッツ 真夏の全国ツアー2018,600,600,1,19:09,2024/12/07,https://page.auctions.yahoo.co.jp/jp/auction/b1163810931
【2024BBM FUSION】 始球式カード FP40 久保史緒里,300,100,1,18:48,2024/12/07,https://page.auctions.yahoo.co.jp/jp/auction/u1164372075
乃木坂46　久保史緒里　生写真　バルーンスカート　コンプ,2300,2299,1,15:32,2024/12/07,https://page.auctions.yahoo.co.jp/jp/auction/j1164387800
◆即決◆　乃木坂46　山下美月×久保史緒里　両面クリアファイル ①　★サイン入り★,280,280,1,07:28,2024/12/07,https://page.auctions.yahoo.co.jp/jp/auction/c1136727075
久保史緒里 BBM 2024 FUSION 始球式カード 銀紙ホロPP版 50枚限定 パラレル 乃木坂46,9500,9500,1,03:27,2024/12/07,https://page.auctions.yahoo.co.jp/jp/auction/s1163468470
2024 BBM FUSION フュージョン 始球式 乃木坂46 久保史緒里 銀紙パラレル版 200枚限定,2000,2000,1,23:10,2024/12/06,https://page.auctions.yahoo.co.jp/jp/auction/x1162865160
乃木坂46 DARS クリアしおり 秋元真夏 齋藤飛鳥 岩本蓮加 筒井あやめ 久保史緒里 梅澤美波 山下美月 遠藤さくら 賀喜遥香 与田祐希 ほか,1500,500,15,22:26,2024/12/06,https://page.auctions.yahoo.co.jp/jp/auction/m1163494595
乃木坂46 DARS メモ帳 しおり ステッカー 一ノ瀬美空 梅澤美波 遠藤さくら 井上和 与田祐希 賀喜遥香 菅原咲月 久保史緒里 川﨑桜 ほか,2200,1000,9,22:23,2024/12/06,https://page.auctions.yahoo.co.jp/jp/auction/v1163520350
乃木坂46 スペシャル衣装40 生写真 30枚まとめ売り 賀喜遥香 冨里奈央 与田祐希 菅原咲月 久保史緒里 梅澤美波など その他もあり,1101,1,24,21:52,2024/12/06,https://page.auctions.yahoo.co.jp/jp/auction/s1164034482
BBM fusion 2024 始球式カード　久保史緒里　200枚限定パラレル,2100,500,22,21:25,2024/12/06,https://page.auctions.yahoo.co.jp/jp/auction/f1163484192
久保史緒里　切り抜き130ページ　+　雑誌付録ポスター　ポストカード,650,650,1,21:11,2024/12/06,https://page.auctions.yahoo.co.jp/jp/auction/x1151911765
乃木坂46 生写真 踏んでしまった 30枚まとめ売り 賀喜遥香 与田祐希 山下美月 五百城茉央 久保史緒里 筒井あやめ などありその他もあり,1500,1,14,21:01,2024/12/06,https://page.auctions.yahoo.co.jp/jp/auction/s1164039817
【同梱可】中古品 アイドル 乃木坂46 田村真佑 久保史緒里 他 生写真 35コンプ 100枚以上 2024 March-2 等 グッズセ,2316,500,8,20:55,2024/12/06,https://page.auctions.yahoo.co.jp/jp/auction/g1163854740
【同梱可】中古品 アイドル 乃木坂46 賀喜遥香 久保史緒里 与田祐希 他 写真集 等 11点 グッズセット,3887,1,17,20:48,2024/12/06,https://page.auctions.yahoo.co.jp/jp/auction/g1163981630
【同梱可】中古品 アイドル 乃木坂46 筒井あやめ 久保史緒里 他 生写真 60枚 しあわせの保護色 封入 等 グッズセット,987,500,4,20:33,2024/12/06,https://page.auctions.yahoo.co.jp/jp/auction/h1163858327
【同梱可】中古品 アイドル 乃木坂46 久保史緒里 与田祐希 他 生写真 60枚 グッズセット,3300,500,17,20:14,2024/12/06,https://page.auctions.yahoo.co.jp/jp/auction/f1163972570
乃木坂46　久保史緒里　生写真　チートデイ　コンプ,1400,1399,1,18:01,2024/12/06,https://page.auctions.yahoo.co.jp/jp/auction/c1164238602
【2024 BBM FUSION】久保史緒里 シリアル 300枚限定 乃木坂46 始球式カード ホロPP版 ハートパラレル トレカ アイドル 送料無料,2000,2000,1,23:53,2024/12/05,https://page.auctions.yahoo.co.jp/jp/auction/m1163552832
2024 BBM FUSION 始球式 久保史緒里 乃木坂46 25/25枚限定 金紙+ホロPP版 300枚限定 ホロPP版 2枚,28500,1000,30,23:53,2024/12/05,https://page.auctions.yahoo.co.jp/jp/auction/f1163706515
乃木坂46☆クリアファイル☆梅澤美波☆久保史緒里☆山下美月☆与田祐希,210,210,1,23:29,2024/12/05,https://page.auctions.yahoo.co.jp/jp/auction/m1163120802
BBMプロ野球始球式カード2024　久保史緒里　乃木坂46,200,200,1,23:19,2024/12/05,https://page.auctions.yahoo.co.jp/jp/auction/d1163760623
乃木坂46生写真 久保史緒里 Route246,600,600,1,22:32,2024/12/05,https://page.auctions.yahoo.co.jp/jp/auction/u1153876295
乃木坂46生写真 久保史緒里 SingOut,350,350,1,22:31,2024/12/05,https://page.auctions.yahoo.co.jp/jp/auction/x1153856129
"2024年BBM FUSION 久保史緒里(乃木坂46)First Pitch！始球式カード。楽天vs広島戦。No,FP40。※右下カド、少しのダメージあり(画像３、４)",50,50,1,22:23,2024/12/05,https://page.auctions.yahoo.co.jp/jp/auction/e1164120183
